,name,classes,samples_per_class,samples_total,dimensionality,dr_name,dr_learning,dr_transformation,dr_structure,clf_name,clf_accuracy,clf_kappa,clf_balanced_accuracy
138,backache,2,"{'0': 155, '1': 25}",180,31,LDA,learning.supervised,transformation.linear,structure.global_structure,SMV,0.8888888888888888,0.44375772558714466,0.6793206793206793
139,backache,2,"{'0': 155, '1': 25}",180,31,LDA,learning.supervised,transformation.linear,structure.global_structure,Naive Bayes,0.9111111111111111,0.5876288659793814,0.7562437562437563
140,backache,2,"{'0': 155, '1': 25}",180,31,LDA,learning.supervised,transformation.linear,structure.global_structure,Decision Tree,0.9,0.5820433436532508,0.7817182817182817
141,backache,2,"{'0': 155, '1': 25}",180,31,LDA,learning.supervised,transformation.linear,structure.global_structure,Quadratic Discriminant,0.9111111111111111,0.5876288659793814,0.7562437562437563
142,backache,2,"{'0': 155, '1': 25}",180,31,LDA,learning.supervised,transformation.linear,structure.global_structure,MPL Classifier,0.8888888888888888,0.44375772558714466,0.6793206793206793
143,backache,2,"{'0': 155, '1': 25}",180,31,LDA,learning.supervised,transformation.linear,structure.global_structure,Gaussian Process,0.9,0.5184304399524375,0.7177822177822177
144,backache,2,"{'0': 155, '1': 25}",180,31,LDA,learning.supervised,transformation.linear,structure.global_structure,Random Forest Classifier,0.9,0.5820433436532508,0.7817182817182817
145,backache,2,"{'0': 155, '1': 25}",180,31,SUP PCA,learning.supervised,transformation.linear,structure.global_structure,KNN,0.8666666666666667,0.12479740680713136,0.5384615384615384
146,backache,2,"{'0': 155, '1': 25}",180,31,SUP PCA,learning.supervised,transformation.linear,structure.global_structure,SMV,0.8555555555555555,0.0,0.5
147,backache,2,"{'0': 155, '1': 25}",180,31,SUP PCA,learning.supervised,transformation.linear,structure.global_structure,Naive Bayes,0.8777777777777778,0.3057503506311361,0.6088911088911089
148,backache,2,"{'0': 155, '1': 25}",180,31,SUP PCA,learning.supervised,transformation.linear,structure.global_structure,Decision Tree,0.8333333333333334,0.13127413127413123,0.5509490509490509
149,backache,2,"{'0': 155, '1': 25}",180,31,SUP PCA,learning.supervised,transformation.linear,structure.global_structure,Quadratic Discriminant,0.8666666666666667,0.20704845814977968,0.5704295704295704
